trace,format,n,flip_rate,c,b,sigma,R2,med_flip_margin,below_p25,top2,demoted,dgap,mean_gap_q,neg_pct,fp_p25,rel_weight_err
s0,q8_0,32000,0.99375,1.0014535335019639,0.0002752855554591741,0.07681890820106026,0.9994888350247864,0.02476024627685547,100.0,98.11320754716981,96.85534591194968,0.0050699710845947266,3.5551817417144775,0.98125,0.7558162212371826,0.0051
s1,q8_0,32000,1.003125,1.001128122797722,-0.002267541655043234,0.07817412937186105,0.9994603331231814,0.027176380157470703,100.0,97.50778816199377,96.88473520249221,0.0014605522155761719,3.6288599967956543,0.9875,0.7554148435592651,0.0051
s2,q8_0,32000,1.04375,1.0013804388406011,-0.0015905029778589305,0.0782319194033099,0.9994734376698335,0.024518966674804688,100.0,96.40718562874252,96.7065868263473,0.003015279769897461,3.56274676322937,1.015625,0.7644575834274292,0.0051
s3,q8_0,32000,0.946875,1.001448373508333,-0.000419061985606068,0.07967352185324589,0.9994413529031435,0.027538299560546875,100.0,98.34983498349835,96.69966996699671,0.00441741943359375,3.572735548019409,0.934375,0.8068027496337891,0.0051
s4,q8_0,32000,0.846875,1.0014897778974947,-0.0006974771165095568,0.07822410810476604,0.999445768346377,0.027105331420898438,100.0,96.30996309963099,97.04797047970479,0.004259586334228516,3.5749714374542236,0.8250000000000001,0.7695683240890503,0.0051
s0,q6_k,32000,2.65625,0.9966596468752346,0.008608854459216858,0.20876830542286845,0.9962008122069125,0.07190108299255371,100.0,91.52941176470588,95.52941176470588,-0.0064465999603271484,3.5436651706695557,2.48125,0.7558162212371826,0.0169
s1,q6_k,32000,2.753125,0.9977216613028775,0.010852521894006779,0.2148128213657772,0.9959117647749113,0.07587099075317383,100.0,89.21679909194098,92.50851305334847,-0.0011754035949707031,3.6262240409851074,2.540625,0.7554148435592651,0.0169
s2,q6_k,32000,2.825,0.9980503853207405,0.020796088365846885,0.2228668103606108,0.995714225274189,0.07051825523376465,100.0,90.59734513274337,93.80530973451327,0.011288166046142578,3.5710196495056152,2.61875,0.7644575834274292,0.0169
s3,q6_k,32000,2.740625,0.9976475114921827,0.0043826515149727185,0.21396098326714397,0.9959545784110609,0.07771587371826172,100.0,91.67616875712656,92.7023945267959,-0.007111549377441406,3.561206579208374,2.58125,0.8068027496337891,0.0169
s4,q6_k,32000,2.6218749999999997,0.9960216186645026,0.013695347579771207,0.21281197895493975,0.9958676212754514,0.07576179504394531,100.0,90.3456495828367,93.68295589988081,-0.004761219024658203,3.565950632095337,2.434375,0.7695683240890503,0.0169
s0,q5_k,32000,4.04375,0.9970679776178679,-0.004250063397020132,0.3263261031051839,0.9907756051513217,0.10918760299682617,99.38176197836167,88.09891808346212,89.25811437403401,-0.024137258529663086,3.5259745121002197,3.715625,0.7558162212371826,0.0306
s1,q5_k,32000,4.11875,0.9938902077671401,0.0035236856347002146,0.31697752439717747,0.9910731295224451,0.10329341888427734,99.54476479514416,88.1638846737481,88.99848254931715,-0.02760601043701172,3.5997934341430664,3.7968750000000004,0.7554148435592651,0.0306
s2,q5_k,32000,4.190625,0.9980389315576269,-0.010208403939235632,0.32025848382933075,0.9911900786051697,0.10216712951660156,99.62714392244594,88.2923191648024,89.11260253542133,-0.02645111083984375,3.533280372619629,3.8625,0.7644575834274292,0.0306
s3,q5_k,32000,4.015625,0.9983533068928536,-0.001252040757487004,0.32632824259991233,0.9906530116946247,0.11165809631347656,99.53307392996109,87.78210116731518,87.70428015564202,-0.016916275024414062,3.5514018535614014,3.7125,0.8068027496337891,0.0306
s4,q5_k,32000,3.96875,0.9959604347869938,-0.007751571482334547,0.3184193363721414,0.99079460937179,0.10701751708984375,99.37007874015748,86.77165354330708,88.4251968503937,-0.03211545944213867,3.5385963916778564,3.634375,0.7695683240890503,0.0306
s0,q5_0,32000,5.768750000000001,1.0114175553672646,-0.035947355011115616,0.4536649772189594,0.9828134342939503,0.1468822956085205,98.10400866738895,84.94041170097508,85.6988082340195,-0.006544828414916992,3.543566942214966,5.246875,0.7558162212371826,0.0408
